Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;KETOAN;C8:3A:35:16:C2:D8;;9;No;WPA2,WPA,AES-CCM;No;54.0;0;55;0;78;0;0;78;;;Mon Dec 17 22:09:15 2018;Mon Dec 17 22:23:37 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;CA:3A:35:00:10:A9;;9;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Dec 17 22:06:05 2018;Mon Dec 17 22:22:36 2018;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;1C:E6:C7:DC:58:6F;;9;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Dec 17 22:22:01 2018;Mon Dec 17 22:22:01 2018;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;FPTU_Camera;68:BC:0C:C8:16:A1;;6;No;WPA2,AES-CCM;No;54.0;0;5;0;0;0;0;0;;;Mon Dec 17 22:20:14 2018;Mon Dec 17 22:21:00 2018;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;FPTU_Guest;68:BC:0C:C8:16:A4;;6;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Mon Dec 17 22:20:15 2018;Mon Dec 17 22:21:00 2018;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;FUG_Staffs;68:BC:0C:C8:16:A3;;6;No;WPA2,AES-CCM;No;54.0;0;5;0;0;0;0;0;;;Mon Dec 17 22:20:14 2018;Mon Dec 17 22:21:00 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;FPTU_Laboratory;68:BC:0C:C8:16:A5;;6;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Dec 17 22:20:15 2018;Mon Dec 17 22:21:00 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;FPT_University;68:BC:0C:C8:16:A0;;6;No;WPA2,AES-CCM;No;54.0;0;6;0;0;0;0;0;;;Mon Dec 17 22:20:14 2018;Mon Dec 17 22:21:00 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;FU_Service;68:BC:0C:C8:16:A2;;6;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Mon Dec 17 22:20:15 2018;Mon Dec 17 22:21:00 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;FPTU_Guest;1C:E6:C7:DC:63:04;;11;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Mon Dec 17 22:20:46 2018;Mon Dec 17 22:20:59 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;FUG_Staffs;1C:E6:C7:DC:63:03;;11;No;WPA2,AES-CCM;No;54.0;0;4;0;0;0;0;0;;;Mon Dec 17 22:20:14 2018;Mon Dec 17 22:20:59 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;FPTU_Camera;00:27:E3:4D:BB:B1;;6;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Mon Dec 17 22:20:30 2018;Mon Dec 17 22:21:00 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;FPTU_Laboratory;00:27:E3:4D:BB:B5;;6;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Dec 17 22:20:15 2018;Mon Dec 17 22:21:00 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;FU_Service;00:27:E3:4D:BB:B2;;6;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Dec 17 22:20:30 2018;Mon Dec 17 22:21:00 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;FU_Service;E8:ED:F3:EA:44:F2;;6;No;WPA2,AES-CCM;No;54.0;0;0;0;0;0;0;0;;;Mon Dec 17 22:20:59 2018;Mon Dec 17 22:21:00 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;FPTU_Camera;E8:ED:F3:EA:44:F1;;6;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Mon Dec 17 22:20:30 2018;Mon Dec 17 22:20:59 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;FPTU_Guest;00:27:E3:4D:BB:B4;;6;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Mon Dec 17 22:20:30 2018;Mon Dec 17 22:21:00 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;FPTU_Guest;E8:ED:F3:EA:44:F4;;6;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Mon Dec 17 22:20:14 2018;Mon Dec 17 22:21:00 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
